Year,Production (Metric Tons),Average Yield (Metric Tons/Hectare),Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2008,31614.0,17.66,1790.0,3883,2008-06-30,-0.0273262558610762,0.7907477475551974,0.446549530906757,-0.3865826165558874,47.282,12.550333333333333
2008,31614.0,17.66,1790.0,3883,2008-07-31,-0.1071210519415318,0.9121648400432992,0.4396032566295829,-0.409954522029794,155.839,12.506774193548386
2008,31614.0,17.66,1790.0,3883,2008-08-31,-0.0609968923574532,0.7241984373867928,0.3594539380468036,-0.4293413560634497,62.725,12.356129032258066
2009,51789.0,18.25,2837.0,4492,2009-05-31,0.2849343045231339,0.9992453203700428,0.7064533408522482,-0.2703693169874705,184.238,12.462903225806452
2009,51789.0,18.25,2837.0,4492,2009-06-30,-0.1099397505827802,0.9399881154647712,0.4299853383996487,0.005731511041853,82.13550000000001,12.55
2009,51789.0,18.25,2837.0,4492,2009-07-31,-0.0325536606139379,0.9100409258889892,0.5027797783360098,-0.8978565118768104,53.0,12.507096774193547
2009,51789.0,18.25,2837.0,4492,2009-08-31,-0.0264037726693947,0.7093310383066166,0.3867989996809273,-0.1805436526315289,118.831,12.357096774193549
2010,26931.0,14.26,1889.0,3653,2010-05-31,0.4725058868317183,0.735879965235501,0.3839702002015356,1.1997989305647974,163.606,12.461935483870969
2010,26931.0,14.26,1889.0,3653,2010-06-30,0.22845783356574,0.463735764929811,0.1357273303322055,0.979004431848158,189.904,12.55
2010,26931.0,14.26,1889.0,3653,2010-07-31,0.0735319064294411,0.2558753663612593,-0.0431785211866893,0.9510012271328768,236.377,12.508064516129032
2010,26931.0,14.26,1889.0,3653,2010-08-31,0.030482690817635,0.1942818558862445,-0.0629801175424345,0.9380766711104368,175.444,12.358387096774194
2011,34573.0,21.0,1611.0,3426,2011-05-31,0.5578355820622634,0.5033113653384682,0.2613888894278732,0.9988220844158948,99.797,12.46
2011,34573.0,21.0,1611.0,3426,2011-06-30,0.1236022441112685,0.3880182253286293,0.07336801736427,0.8755002790351378,69.143,12.549666666666669
